2021-02-01 14:31:12.391909|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.3 (2020-12-16 14:17:05)
2021-02-01 14:31:12.393658|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-56-generic #62-Ubuntu SMP Mon Nov 23 19:20:19 UTC 2020 x86_64 Binary: 64bit
2021-02-01 14:31:12.393704|INFO    |ServerLibPriv |   |Using hardware aes
2021-02-01 14:31:12.394020|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-02-01 14:31:12.394063|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-02-01 14:31:12.395474|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-02-01 14:31:12.590556|INFO    |SQL           |   |database updated successfully to revision: 34
2021-02-01 14:31:12.611179|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-02-01 14:31:12.624953|INFO    |Accounting    |   |Licensing Information
2021-02-01 14:31:12.625277|INFO    |Accounting    |   |licensed to       : Anonymous
2021-02-01 14:31:12.625451|INFO    |Accounting    |   |type              : No License
2021-02-01 14:31:12.625641|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-02-01 14:31:12.625821|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-02-01 14:31:12.625991|INFO    |Accounting    |   |max virtualservers: 1
2021-02-01 14:31:12.626148|INFO    |Accounting    |   |max slots         : 32
2021-02-01 14:31:14.428947|INFO    |              |   |Puzzle precompute time: 1775
2021-02-01 14:31:14.432303|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-02-01 14:31:14.434994|INFO    |Query         |   |Using a query thread pool size of 2
2021-02-01 14:31:14.599832|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-02-01 14:31:14.600474|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-02-01 14:31:14.600732|WARNING |ServerMain    |   |Warning - name 'query_ip_whitelist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_allowlist' instead.
2021-02-01 14:31:14.600933|WARNING |ServerMain    |   |Warning - name 'query_ip_blacklist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_denylist' instead.
2021-02-01 14:37:33.690313|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
2021-02-01 14:50:30.636158|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
2021-02-01 14:50:30.638193|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2379257560": No such file or directory
2021-02-01 14:56:07.958974|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2513547458": No such file or directory
2021-02-01 14:56:07.960971|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3205332715": No such file or directory
2021-02-01 14:56:07.962904|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_157620106": No such file or directory
2021-02-01 14:59:01.980391|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
