2021-02-01 14:31:14.599019|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2021-02-01 14:58:42.519984|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2021-02-01 17:58:24.758545|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2021-02-01 21:14:41.130686|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2021-02-01 22:27:40.015171|INFO    |PktHandler    |1  |Dropping client 24 because of ping timeout 19 0 0
2021-02-01 23:02:26.572007|INFO    |PktHandler    |1  |Dropping client 27 because of ping timeout 19 0 0
2021-02-02 18:00:43.031459|INFO    |PktHandler    |1  |Cleaning up connection because of 12 resends of COMMAND packet
2021-02-02 18:00:43.032224|INFO    |PktHandler    |1  |Dropping client 31 because of resend timeout
2021-02-02 19:22:46.903666|INFO    |PktHandler    |1  |Dropping client 32 because of ping timeout 19 0 0
2021-02-02 19:28:42.555802|INFO    |PktHandler    |1  |Dropping client 39 because of ping timeout 19 0 0
2021-02-02 19:28:42.556061|INFO    |PktHandler    |1  |Dropping client 35 because of ping timeout 19 0 0
2021-02-02 19:30:11.704821|INFO    |PktHandler    |1  |Dropping client 44 because of ping timeout 19 0 0
2021-02-02 19:30:12.707511|INFO    |PktHandler    |1  |Dropping client 45 because of ping timeout 19 0 0
2021-02-02 19:32:32.940837|INFO    |PktHandler    |1  |Dropping client 47 because of ping timeout 19 0 0
2021-02-02 19:32:32.941271|INFO    |PktHandler    |1  |Dropping client 46 because of ping timeout 19 0 0
2021-02-02 19:47:21.487119|INFO    |PktHandler    |1  |Dropping client 48 because of ping timeout 19 0 0
2021-02-02 19:48:53.633924|INFO    |PktHandler    |1  |Dropping client 50 because of ping timeout 19 0 0
2021-02-02 19:52:04.980163|INFO    |PktHandler    |1  |Cleaning up connection because of 5 resends of COMMAND packet
2021-02-02 19:52:04.980532|INFO    |PktHandler    |1  |Dropping client 53 because of resend timeout
2021-02-02 19:52:16.015040|INFO    |PktHandler    |1  |Dropping client 49 because of ping timeout 19 0 0
2021-02-02 20:45:30.760177|INFO    |PktHandler    |1  |Dropping client 55 because of ping timeout 19 0 0
2021-02-02 23:02:59.755626|INFO    |PktHandler    |1  |Dropping client 34 because of ping timeout 19 0 0
2021-02-03 14:46:23.617692|INFO    |PktHandler    |1  |Dropping client 58 because of ping timeout 19 0 0
2021-02-03 17:59:00.041293|INFO    |PktHandler    |1  |Dropping client 59 because of ping timeout 19 0 0
2021-02-03 20:17:27.160742|INFO    |PktHandler    |1  |Dropping client 61 because of ping timeout 19 0 0
2021-02-03 21:37:44.365362|INFO    |PktHandler    |1  |Dropping client 60 because of ping timeout 19 0 0
2021-02-03 21:42:12.789542|INFO    |PktHandler    |1  |Dropping client 68 because of ping timeout 19 0 0
2021-02-03 21:44:42.028424|INFO    |PktHandler    |1  |Dropping client 69 because of ping timeout 19 0 0
2021-02-03 21:57:00.609393|INFO    |VirtualServer |1  |client 'TeamSpeakUser'(id:62) was added to servergroup 'ADMIN'(id:9) by client ''Nemesis'(id:6)
2021-02-03 22:47:30.213124|INFO    |PktHandler    |1  |Dropping client 71 because of ping timeout 19 0 0
2021-02-04 17:18:22.301531|INFO    |PktHandler    |1  |Dropping client 73 because of ping timeout 19 0 0
2021-02-04 17:25:45.057547|INFO    |PktHandler    |1  |Dropping client 76 because of ping timeout 19 0 0
2021-02-04 17:35:13.001812|INFO    |PktHandler    |1  |Dropping client 75 because of ping timeout 19 0 0
2021-02-04 17:36:51.171872|INFO    |PktHandler    |1  |Dropping client 79 because of ping timeout 19 0 0
2021-02-04 17:43:03.799096|INFO    |PktHandler    |1  |Dropping client 78 because of ping timeout 19 0 0
2021-02-04 17:52:41.762336|INFO    |PktHandler    |1  |Dropping client 80 because of ping timeout 19 0 0
2021-02-04 17:53:36.860553|INFO    |PktHandler    |1  |Dropping client 82 because of ping timeout 19 0 0
2021-02-04 18:09:01.414302|INFO    |PktHandler    |1  |Dropping client 83 because of ping timeout 19 0 0
2021-02-04 18:37:28.295264|INFO    |PktHandler    |1  |Dropping client 84 because of ping timeout 19 0 0
2021-02-04 19:49:38.673797|INFO    |PktHandler    |1  |Dropping client 90 because of ping timeout 19 0 0
2021-02-04 20:12:17.561984|INFO    |PktHandler    |1  |Cleaning up connection because of 7 resends of COMMAND packet
2021-02-04 20:12:17.562407|INFO    |PktHandler    |1  |Dropping client 86 because of resend timeout
2021-02-04 20:28:34.674219|INFO    |PktHandler    |1  |Dropping client 94 because of ping timeout 19 0 0
2021-02-04 20:33:21.163441|INFO    |PktHandler    |1  |Dropping client 95 because of ping timeout 19 0 0
2021-02-04 20:36:41.501330|INFO    |PktHandler    |1  |Dropping client 96 because of ping timeout 19 0 0
2021-02-04 20:39:02.741455|INFO    |PktHandler    |1  |Dropping client 93 because of ping timeout 19 0 0
2021-02-04 20:43:22.191819|INFO    |PktHandler    |1  |Dropping client 97 because of ping timeout 19 0 0
2021-02-04 21:52:09.172884|INFO    |PktHandler    |1  |Dropping client 99 because of ping timeout 19 0 0
2021-02-04 22:26:33.709781|INFO    |PktHandler    |1  |Dropping client 85 because of ping timeout 19 0 0
2021-02-05 13:29:56.313468|INFO    |PktHandler    |1  |Dropping client 108 because of ping timeout 19 0 0
2021-02-05 13:34:35.335624|INFO    |VirtualServer |1  |client 'DRUNKENMONKIES'(id:56) was added to servergroup 'AION'(id:10) by client 'DRUNKENMONKIES'(id:56)
2021-02-05 20:44:16.337972|INFO    |PktHandler    |1  |Dropping client 109 because of ping timeout 19 0 0
2021-02-05 21:09:12.956283|INFO    |PktHandler    |1  |Dropping client 113 because of ping timeout 19 0 0
2021-02-05 21:35:54.717426|INFO    |PktHandler    |1  |Dropping client 106 because of ping timeout 19 0 0
2021-02-05 21:35:55.719371|INFO    |PktHandler    |1  |Dropping client 115 because of ping timeout 19 0 0
2021-02-05 21:39:37.110642|INFO    |PktHandler    |1  |Dropping client 117 because of ping timeout 19 0 0
2021-02-05 21:39:37.111131|INFO    |PktHandler    |1  |Dropping client 116 because of ping timeout 19 0 0
